text,language,label
"Pour commencer, je tiens à souligner que cette présentation était absolument remarquable. Les arguments étaient clairs, bien structurés et convaincants. En conclusion, je recommande vivement cette approche à tous.",fr,positif
"Euh, donc, du coup, j'ai voulu, euh, vous parler de, voilà, de ce projet. Bon, c'est pas évident, hein, mais enfin, on va essayer quand même.",fr,neutre
"Cette formation était une perte de temps totale. Les intervenants n'étaient pas préparés, le contenu était obsolète et l'organisation catastrophique. Je suis profondément déçu.",fr,négatif
"Aujourd'hui nous allons aborder la question du changement climatique. Les énergies renouvelables offrent une alternative viable. En résumé, agir maintenant est indispensable pour les générations futures.",fr,positif
"Le produit est correct, il fait ce qu'on lui demande. Ni exceptionnel ni mauvais. Le service client a répondu dans des délais raisonnables.",fr,neutre
"Je suis absolument ravi de cette expérience. L'équipe a fait preuve d'un professionnalisme exemplaire et les résultats ont dépassé toutes mes espérances. Bravo !",fr,positif
"Bon, genre, tu vois, c'est un peu compliqué à expliquer, machin. En fait, euh, je sais pas trop comment dire ça, quoi. C'est, voilà, assez flou comme situation.",fr,neutre
"Ce service est scandaleux. Trois semaines d'attente pour une réponse inadaptée. Je ne recommande absolument pas et je déconseille fortement à quiconque d'y recourir.",fr,négatif
"Premièrement, il convient d'analyser les données disponibles. Deuxièmement, nous devons en tirer des conclusions rigoureuses. Finalement, les résultats parlent d'eux-mêmes.",fr,neutre
"L'ambiance était chaleureuse, les formateurs passionnés et le contenu riche. J'ai appris énormément et je repars motivé à mettre en pratique toutes ces nouvelles compétences.",fr,positif
"First, I would like to thank everyone for their outstanding contributions to this project. The results have been exceptional and the teamwork truly inspiring. In conclusion, we have every reason to be proud.",en,positif
"So, like, I wanted to talk about, you know, this thing. Basically, it's kind of hard to explain. I mean, sort of, you see what I mean, right?",en,neutre
"This product is an absolute disaster. It broke after two days, customer support was unhelpful and rude, and the refund process is a nightmare. Avoid at all costs.",en,négatif
"Today we will explore the impact of artificial intelligence on the job market. The findings suggest mixed outcomes. In summary, adaptation and retraining will be essential.",en,neutre
"I am genuinely impressed by this service. The team was responsive, professional and delivered exactly what was promised — on time and within budget. Highly recommended.",en,positif
"Uh, well, basically, I'm not sure how to put this. It's like, you know, kind of okay I guess. Nothing really stands out, to be honest.",en,neutre
"The conference was poorly organized, the speakers were unprepared, and the technical issues were never resolved. A complete waste of my time and money.",en,négatif
"To begin, let me outline the three key pillars of our strategy. Each one reinforces the others. Overall, this framework provides a solid foundation for sustainable growth.",en,positif
"The course content was decent and the instructor was knowledgeable. Some sections felt rushed, but the materials provided were useful. A satisfactory experience overall.",en,neutre
"I cannot express how grateful I am for this opportunity. The mentorship I received changed my perspective entirely and gave me the confidence to pursue my goals.",en,positif
